Chrom	Start	End	uniprotId	Gene	position	Strand
chr1	205381377	205381378	unknown	LEMD1	205381377	-
chr1	42925352	42925353	unknown	SLC2A1	42925352	-
chr1	153001748	153001749	unknown	SPRR3	153001748	+
chr1	153031202	153031203	unknown	SPRR1B	153031202	+
chr1	153561107	153561108	unknown	S100A2	153561107	-
chr2	169067076	169067077	unknown	DHRS9_1	169067076	+
chr2	169069562	169069563	unknown	DHRS9_2	169069562	+
chr2	169072574	169072575	unknown	DHRS9_3	169072574	+
chr2	169081106	169081107	unknown	DHRS9_4	169081106	+
chr3	151294085	151294086	unknown	GPR87	151294085	-
chr4	74445135	74445136	unknown	AREG	74445135	+
chr4	15935576	15935577	unknown	FGFBP1	15935576	-
chr8	123179046	123179047	unknown	FAM83A_1	123179046	+
chr8	123180131	123180132	unknown	FAM83A_2	123180131	+
chr8	123182025	123182026	unknown	FAM83A_3	123182025	+
chr8	123182664	123182665	unknown	FAM83A_4	123182664	+
chr8	142784881	142784882	unknown	LY6D	142784881	-
chr9	97029676	97029677	unknown	CTSV	97029676	-
chr10	46375775	46375776	unknown	ANXA8L1	46375775	+
chr11	66012007	66012008	unknown	CST6	66012007	+
chr12	52233242	52233243	unknown	KRT7_1	52233242	+
chr12	52237508	52237509	unknown	KRT7_2	52237508	+
chr12	52468515	52468516	unknown	KRT6C	52468515	-
chr12	52487175	52487176	unknown	KRT6A	52487175	-
chr13	77535705	77535706	unknown	SCEL	77535705	+
chr17	40475833	40475834	unknown	TNS4_1	40475833	-
chr17	40479723	40479724	unknown	TNS4_2	40479723	-
chr17	40479848	40479849	unknown	TNS4_3	40479848	-
chr17	41513744	41513745	unknown	KRT15_1	41513744	-
chr17	41514105	41514106	unknown	KRT15_2	41514105	-
chr17	41619441	41619442	unknown	KRT17	41619441	-
chr18	63637258	63637259	unknown	SERPINB4	63637258	-
chr18	63655196	63655197	unknown	SERPINB3	63655196	-
chr19	15828946	15828947	unknown	UCA1	15828946	+
